name,review_count,rating,coordinates,location,price,Area
OneDo Coffee Roasters,103,4.5,"{'latitude': 39.2818782, 'longitude': -76.5781694}","{'address1': '913 S Lakewood Ave', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21224', 'country': 'US', 'state': 'MD', 'display_address': ['913 S Lakewood Ave', 'Baltimore, MD 21224']}",$$,Dundalk
Scoops Cafe,8,4.0,"{'latitude': 39.257, 'longitude': -76.52228}","{'address1': '63 Shipping Pl', 'address2': '', 'address3': '', 'city': 'Dundalk', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['63 Shipping Pl', 'Dundalk, MD 21222']}",$,Dundalk
Dunkin',14,3.5,"{'latitude': 39.2841, 'longitude': -76.506}","{'address1': '1099 Merritt Blvd', 'address2': '', 'address3': '', 'city': 'Dundalk', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['1099 Merritt Blvd', 'Dundalk, MD 21222']}",$,Dundalk
High Grounds Coffee Roasters,61,4.0,"{'latitude': 39.28623, 'longitude': -76.57133}","{'address1': '3201 Eastern Ave', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21224', 'country': 'US', 'state': 'MD', 'display_address': ['3201 Eastern Ave', 'Baltimore, MD 21224']}",$,Dundalk
Atwater's Canton Crossing,181,4.0,"{'latitude': 39.276775166867, 'longitude': -76.5663337011689}","{'address1': '3601 Boston St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21224', 'country': 'US', 'state': 'MD', 'display_address': ['3601 Boston St', 'Baltimore, MD 21224']}",$$,Dundalk
Ceremony Coffee Roasters - Harbor Point,90,4.0,"{'latitude': 39.280497, 'longitude': -76.598444}","{'address1': '1312 Point St', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21231', 'country': 'US', 'state': 'MD', 'display_address': ['1312 Point St', 'Baltimore, MD 21231']}",$$,Dundalk
Hoehn's Bakery,64,4.5,"{'latitude': 39.28746104, 'longitude': -76.56749292}","{'address1': '400 S Conkling St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21224', 'country': 'US', 'state': 'MD', 'display_address': ['400 S Conkling St', 'Baltimore, MD 21224']}",$,Dundalk
Dunkin',13,2.5,"{'latitude': 39.267331, 'longitude': -76.497659}","{'address1': '7821 Wise Ave', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['7821 Wise Ave', 'Baltimore, MD 21222']}",$,Dundalk
Hermans Bakery and Catering,41,3.0,"{'latitude': 39.2708228088841, 'longitude': -76.5041813144485}","{'address1': '7560 Holabird Ave', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['7560 Holabird Ave', 'Baltimore, MD 21222']}",$$,Dundalk
Vinny's Cafe,104,4.5,"{'latitude': 39.2724723815918, 'longitude': -76.5400314331055}","{'address1': '6212 Holabird Ave', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21224', 'country': 'US', 'state': 'MD', 'display_address': ['6212 Holabird Ave', 'Baltimore, MD 21224']}",$$,Dundalk
Wawa,8,3.0,"{'latitude': 39.268611, 'longitude': -76.470146}","{'address1': '4017 North Point Blvd', 'address2': None, 'address3': None, 'city': 'Dundalk', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['4017 North Point Blvd', 'Dundalk, MD 21222']}",$,Dundalk
Zekes Coffee,140,4.5,"{'latitude': 39.343912, 'longitude': -76.567906}","{'address1': '4719 Harford Rd', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21214', 'country': 'US', 'state': 'MD', 'display_address': ['4719 Harford Rd', 'Baltimore, MD 21214']}",$,Dundalk
SACRÉ SUCRÉ,106,5.0,"{'latitude': 39.2847633, 'longitude': -76.5887004}","{'address1': '2001 Fleet St', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21231', 'country': 'US', 'state': 'MD', 'display_address': ['2001 Fleet St', 'Baltimore, MD 21231']}",$$,Dundalk
Horus Cafe,14,4.0,"{'latitude': 39.28517, 'longitude': -76.593}","{'address1': '515 S Broadway', 'address2': None, 'address3': None, 'city': 'Baltimore', 'zip_code': '21231', 'country': 'US', 'state': 'MD', 'display_address': ['515 S Broadway', 'Baltimore, MD 21231']}",$$,Dundalk
